Text,Text Original,True Emotion,Predicted Emotion
This is MasterChef.,To jest MasterChef.,disgust,neutral
Here they are.,Oto oni.,neutral,surprise
which were bustling around the kitchen there.,które tam krzątały się po kuchni.,surprise,joy
I was born with a sense for the kitchen and a sense of taste.,Urodziłem się z wyczuciem kuchni i z wyczuciem smaku.,joy,surprise
I love to eat good things.,Ja uwielbiam jeść dobre rzeczy.,joy,neutral
"High stakes, you only win by taking risks.","Wysokie stawki, wygrywa się tylko ryzykiem.",anger,disgust
I started under the slogan from cutlet to Masterchef.,Startowałam pod hasłem od kotleta do Masterchefa.,fear,sadness
The Groży prepared an unusual and very demanding task for them.,Groży przygotowali dla nich nietypowe i bardzo wymagające zadanie.,surprise,joy
I enter the market square and look.,Wchodzę na rynek i patrzę.,neutral,sadness
We all expected something completely different.,Wszyscy spodziewaliśmy się czegoś zupełnie innego.,neutral,joy
"What, some trees?","Co, jakieś drzewa?",joy,surprise
As you plant.,Jak posadzisz.,surprise,joy
There were some speculations.,Były jakieś spekulacje.,joy,surprise
"Maybe for a wedding, maybe for someone important.","Może na wesele, może dla kogoś ważnego.",joy,anger
You will prepare a birthday party for 150 special people.,Przygotujecie imprezę urodzinową dla 150 wyjątkowych osób.,neutral,sadness
I have never cooked for so many people.,Dla tak dużej ilości ludzi nigdy nie gotowałem.,neutral,surprise
CHILDREN!,DZIECI!,fear,neutral
A good choice is a key decision.,Dobry wybór to kluczowa decyzja.,sadness,surprise
"Well, I was a little sad.",No troszkę mnie było przykro.,surprise,joy
We had no problem with appointing Krzysiek as the leader.,"Nie mieliśmy problemu z tym, żeby ustawić Krzyśka jako lidera.",anger,surprise
"Diana, for a very simple reason, Diana is our best seamstress.","Diana, z bardzo prostej przyczyny Diana jest naszą najlepszą sukienniczką.",anger,surprise
"You are for desserts, I don't look for anything for desserts, you look for everything for desserts.","Ty jesteś za desery, ja nic nie szukam dla deserów, ty wszystko do deserów ty szukasz.",sadness,surprise
Yes.,Tak.,neutral,joy
"Take the pepper, more onions, more tomatoes.","Weź paprykę, więcej cebuli, więcej pomidorów.",joy,neutral
Don't take the hand!,Nie bierz rękę!,surprise,joy
"Krzysiek, Leszek, 30 seconds!","Krzysiek, Leszek, 30 sekund!",surprise,neutral
Stop!,Stop!,fear,sadness
"We will start with the simplest things, a regular Fungi pizza, but seasoned much more delicately than we would eat it ourselves.","Zaczniemy od najprostszych rzeczy, zwykłą pizzę Fungi, z tym, że przyprawioną dużo delikatniej, niż my byśmy to zjedli.",surprise,sadness
"As the main dish, mainly nuggets, and there will also be potato chips.","Jako danie głównie nuggetsy, do tego będą chipsy ziemniaczane.",joy,sadness
"Obviously, everyone present at this moment likes fast food, especially children.","Wiadomo, wszyscy w tej chwili obecni lubią fast foody, tym bardziej dzieci.",joy,surprise
150 children.,150 dzieci.,anger,disgust
Pancakes?,Naleśniki?,fear,sadness
Pancakes.,Naleśniki.,fear,surprise
We will do it.,Zrobimy.,neutral,anger
