Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1/1/1900 0:00,1/1/1900 0:00,To jest MasterChef.,This is MasterChef.,anticipation,neutral,neutral
1/1/1900 0:00,1/1/1900 0:00,Szansę na tytuł najlepszego kucharza w Polsce ma już tylko 12 osób.,Only 12 people still have a chance at the title of best chef in Poland.,anticipation,neutral,mild
1/1/1900 0:00,1/1/1900 0:00,Oto oni.,Here they are.,anticipation,surprise,mild
1/1/1900 0:00,1/1/1900 0:00,"Jestem dinozaurem, który chce walczyć, który się nie podda.","I am a dinosaur who wants to fight, who will not give up.",determination,happiness,intense
1/1/1900 0:00,1/1/1900 0:00,Ten program daje mi ogromną siłę.,This program gives me tremendous strength.,empowerment,happiness,intense
1/1/1900 0:00,1/1/1900 0:00,Wiatr żagla.,Wind of the sail.,anticipation,happiness,mild
1/1/1900 0:00,1/1/1900 0:00,"Będę walczyć do ostatniej minuty, do ostatniej siły, którą mam.","I will fight until the last minute, until the last strength I have.",determination,anger,intense
1/1/1900 0:00,1/1/1900 0:00,"Zacząłem gotować, ponieważ zawsze podglądałem moją mamę i babcię,","I started cooking because I always watched my mom and grandma,",nostalgia,happiness,mild
1/1/1900 0:00,1/1/1900 0:00,które tam krzątały się po kuchni.,which were bustling around the kitchen there.,contentment,happiness,mild
1/1/1900 0:00,1/1/1900 0:00,Gotowanie jest moją pasją.,Cooking is my passion.,enthusiasm,happiness,moderate
1/1/1900 0:00,1/1/1900 0:00,"Jak zaczynam gotować, to odpływam.","When I start cooking, I drift away.",absorption,happiness,mild
1/1/1900 0:00,1/1/1900 0:00,Urodziłem się z wyczuciem kuchni i z wyczuciem smaku.,I was born with a sense for the kitchen and a sense of taste.,pride,happiness,mild
1/1/1900 0:00,1/1/1900 0:00,Ja uwielbiam jeść dobre rzeczy.,I love to eat good things.,pleasure,happiness,moderate
1/1/1900 0:00,1/1/1900 0:00,"Chciałabym poświęcić się gotowaniu, robić to już do końca życia.","I would like to devote myself to cooking, to do it for the rest of my life.",devotion,happiness,moderate
1/1/1900 0:00,1/1/1900 0:00,"Chciałem być w kuchni, którą Polska jeszcze nie widziała.",I wanted to be in a kitchen that Poland has not yet seen.,aspiration,happiness,mild
1/1/1900 0:00,1/1/1900 0:00,"Polską, ale w takim new style.","Polish, but in such a new style.",curiosity,neutral,mild
1/1/1900 0:00,1/1/1900 0:00,Lubię ryzyko w kuchni.,I like risk in the kitchen.,excitement,happiness,mild
1/1/1900 0:00,1/1/1900 0:00,"Wysokie stawki, wygrywa się tylko ryzykiem.","High stakes, you only win by taking risks.",determination,neutral,moderate
1/1/1900 0:00,1/1/1900 0:00,"To jest to, co kocham, to jest to, co lubię","This is what I love, this is what I like",affection,happiness,moderate
1/1/1900 0:00,1/1/1900 0:00,i tego fartucha już prędko nie oddam.,and I won't give this apron back anytime soon.,determination,happiness,moderate
1/1/1900 0:00,1/1/1900 0:01,Startowałam pod hasłem od kotleta do Masterchefa.,I started under the slogan from cutlet to Masterchef.,pride,happiness,mild
1/1/1900 0:01,1/1/1900 0:01,I tak łatwo się robi.,And it's so easy to do.,ease,happiness,mild
1/1/1900 0:01,1/1/1900 0:01,Masterchef będzie tylko jeden.,There will be only one Masterchef.,determination,neutral,neutral
1/1/1900 0:01,1/1/1900 0:01,"Kraków, rynek główny.","Kraków, main square.",serenity,neutral,neutral
1/1/1900 0:01,1/1/1900 0:01,To tutaj kucharze Masterchefa staną przed kolejnym kulinarnym testem.,It is here that the Masterchef chefs will face another culinary test.,anticipation,surprise,mild
1/1/1900 0:01,1/1/1900 0:01,Groży przygotowali dla nich nietypowe i bardzo wymagające zadanie.,The Groży prepared an unusual and very demanding task for them.,apprehension,fear,moderate
1/1/1900 0:01,1/1/1900 0:01,"I zobacz, jak piękny ten rynek krakowski.","And look, how beautiful this Krakow market square is.",admiration,happiness,mild
1/1/1900 0:01,1/1/1900 0:01,"Myślę, że lepszej mięsy nie ma, żeby gotować coś dobrego w końcu.",I think there is no better meat to finally cook something good.,satisfaction,happiness,mild
1/1/1900 0:01,1/1/1900 0:01,No i żeby gotować dla takich gości.,And to have to cook for such guests.,resentment,anger,moderate
1/1/1900 0:01,1/1/1900 0:01,Wchodzę na rynek i patrzę.,I enter the market square and look.,curiosity,neutral,neutral
1/1/1900 0:01,1/1/1900 0:01,Wszyscy spodziewaliśmy się czegoś zupełnie innego.,We all expected something completely different.,disappointment,sadness,moderate
1/1/1900 0:01,1/1/1900 0:01,Dotąd gotowali na własny rachunek.,"Until now, they cooked on their own account.",independence,neutral,neutral
1/1/1900 0:01,1/1/1900 0:01,"Dziś, żeby wygrać, będą musieli współpracować.","Today, to win, they will have to cooperate.",expectation,neutral,neutral
1/1/1900 0:01,1/1/1900 0:01,"To co, łapiemy gołębie na czas?","So, are we catching pigeons for time?",playfulness,happiness,mild
1/1/1900 0:01,1/1/1900 0:01,Adam będzie szukał wiewiórek.,Adam will be looking for squirrels.,curiosity,neutral,mild
1/1/1900 0:01,1/1/1900 0:01,Ja mam wiewiórki.,I have squirrels.,contentment,happiness,mild
1/1/1900 0:01,1/1/1900 0:01,"Co, jakieś drzewa?","What, some trees?",confusion,surprise,mild
1/1/1900 0:01,1/1/1900 0:01,Jak posadzisz.,As you plant.,curiosity,neutral,neutral
1/1/1900 0:02,1/1/1900 0:02,Witajcie na krakowskim rynku.,Welcome to the Krakow market square.,welcome,happiness,mild
1/1/1900 0:02,1/1/1900 0:02,Przed Wami monumentalne zadanie.,A monumental task lies ahead of you.,anticipation,surprise,moderate
1/1/1900 0:02,1/1/1900 0:02,"Nigdy w moim życiu nie przypuszczałbym, że ja rynku będę gotować coś fajnego.",Never in my life would I have thought that I would be cooking something cool at the market.,amazement,surprise,moderate
1/1/1900 0:02,1/1/1900 0:02,Były jakieś spekulacje.,There were some speculations.,uncertainty,neutral,mild
1/1/1900 0:02,1/1/1900 0:02,"Może na wesele, może dla kogoś ważnego.","Maybe for a wedding, maybe for someone important.",consideration,neutral,mild
1/1/1900 0:02,1/1/1900 0:02,"Różne pomysły, może kuchnia francuska.","Various ideas, maybe French cuisine.",curiosity,neutral,mild
1/1/1900 0:02,1/1/1900 0:02,"Kuchnia hiszpańska, kuchnia włoska.","Spanish cuisine, Italian cuisine.",interest,neutral,neutral
1/1/1900 0:02,1/1/1900 0:02,Ja byłam przygotowana na Meksyk.,I was prepared for Mexico.,readiness,neutral,neutral
1/1/1900 0:02,1/1/1900 0:02,Na Meksyk.,To Mexico.,anticipation,happiness,mild
1/1/1900 0:02,1/1/1900 0:02,Przygotujecie imprezę urodzinową dla 150 wyjątkowych osób.,You will prepare a birthday party for 150 special people.,anticipation,happiness,moderate
1/1/1900 0:02,1/1/1900 0:02,Dla tak dużej ilości ludzi nigdy nie gotowałem.,I have never cooked for so many people.,apprehension,fear,mild
1/1/1900 0:02,1/1/1900 0:02,Waszymi gośćmi będą...,Your guests will be...,anticipation,surprise,mild
1/1/1900 0:02,1/1/1900 0:02,DZIECI!,CHILDREN!,alarm,surprise,intense
1/1/1900 0:02,1/1/1900 0:02,Lubię gotować leleczki.,I like to cook leleczki.,fondness,happiness,mild
1/1/1900 0:02,1/1/1900 0:02,Sam mam troje i naprawdę super.,I myself have three and it's really great.,contentment,happiness,mild
1/1/1900 0:02,1/1/1900 0:02,Każda drużyna zrobi dziecięce menu składające się z głównego dania i deserów.,Each team will make a children's menu consisting of a main course and desserts.,anticipation,neutral,neutral
1/1/1900 0:02,1/1/1900 0:03,150 dzieciaków.,150 kids.,neutrality,neutral,neutral
1/1/1900 0:03,1/1/1900 0:03,No ręce mi opadły.,"Well, my hands dropped (idiom: I'm at a loss / I'm exasperated).",exasperation,sadness,moderate
1/1/1900 0:03,1/1/1900 0:03,Jeszcze mnie nikt nie chciał wziąć do drużyny.,No one has wanted to take me into the team yet.,rejection,sadness,moderate
1/1/1900 0:03,1/1/1900 0:03,Podzielicie się na dwie drużyny i to będzie pojedynek.,You will split into two teams and it will be a duel.,anticipation,surprise,mild
1/1/1900 0:03,1/1/1900 0:03,Bardzo trudny pojedynek.,A very difficult duel.,challenge,fear,moderate
1/1/1900 0:03,1/1/1900 0:03,"Leszek, to ty wygrałeś ostatnią konkurencję i teraz w nagrodę to ty będziesz mógł sobie wybrać najlepszą twoim zdaniem ekipę i będziesz jej kapitanem.","Leszek, you won the last competition and now as a reward you will be able to choose the team you think is the best and you will be its captain.",recognition,happiness,mild
1/1/1900 0:03,1/1/1900 0:03,Dobry wybór to kluczowa decyzja.,A good choice is a key decision.,thoughtfulness,neutral,neutral
1/1/1900 0:03,1/1/1900 0:03,Zespół musi być jak świetnie działający mechanizm.,The team must be like a perfectly functioning mechanism.,expectation,neutral,neutral
1/1/1900 0:03,1/1/1900 0:03,Leszek mi wybrał nawet jako pierwszy.,Leszek even chose me first.,gratitude,happiness,mild
1/1/1900 0:03,1/1/1900 0:03,"Zaskoczony byłem, ale no fajnie.","I was surprised, but well, nice.",curiosity,surprise,mild
1/1/1900 0:03,1/1/1900 0:03,Ania.,Ania.,neutrality,neutral,neutral
1/1/1900 0:03,1/1/1900 0:03,Jola.,Jola.,neutrality,neutral,neutral
1/1/1900 0:03,1/1/1900 0:03,Beata.,Beata.,neutrality,neutral,neutral
1/1/1900 0:03,1/1/1900 0:03,I ostatni w zespole Adam.,And the last one in the team is Adam.,acknowledgment,neutral,neutral
