Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity,Translation_Predicted
1/1/1900 0:00,1/1/1900 0:00,To jest MasterChef.,This is MasterChef.,anticipation,neutral,neutral,"This is the MCCCCC, which is in the middle of Malibu."
1/1/1900 0:00,1/1/1900 0:00,Szansę na tytuł najlepszego kucharza w Polsce ma już tylko 12 osób.,Only 12 people still have a chance at the title of best chef in Poland.,anticipation,neutral,mild,The new cook has only 12 people in Poland.
1/1/1900 0:00,1/1/1900 0:00,Oto oni.,Here they are.,anticipation,surprise,mild,"Here they go, and they're going to be in the middle of nowhere."
1/1/1900 0:00,1/1/1900 0:00,"Jestem dinozaurem, który chce walczyć, który się nie podda.","I am a dinosaur who wants to fight, who will not give up.",determination,happiness,intense,"I'm the one who's trying to fight for a fight, and he wants to fight."
1/1/1900 0:00,1/1/1900 0:00,Ten program daje mi ogromną siłę.,This program gives me tremendous strength.,empowerment,happiness,intense,This program gives me a big deal.
1/1/1900 0:00,1/1/1900 0:00,Wiatr żagla.,Wind of the sail.,anticipation,happiness,mild,It's not like we're in the middle of the bridge.
1/1/1900 0:00,1/1/1900 0:00,"Będę walczyć do ostatniej minuty, do ostatniej siły, którą mam.","I will fight until the last minute, until the last strength I have.",determination,anger,intense,"I'll fight for the last minute, and I have the power to fight for the last minute."
1/1/1900 0:00,1/1/1900 0:00,"Zacząłem gotować, ponieważ zawsze podglądałem moją mamę i babcię,","I started cooking because I always watched my mom and grandma,",nostalgia,happiness,mild,"I've been searching for my grandmother's sake, and I've always been watching my grandmother's, and I've been watching my grandmother."
1/1/1900 0:00,1/1/1900 0:00,które tam krzątały się po kuchni.,which were bustling around the kitchen there.,contentment,happiness,mild,They've been monitoring the kitchen in the kitchen kitchen kitchen.
1/1/1900 0:00,1/1/1900 0:00,Gotowanie jest moją pasją.,Cooking is my passion.,enthusiasm,happiness,moderate,They're ready to get my belt sorted.
1/1/1900 0:00,1/1/1900 0:00,"Jak zaczynam gotować, to odpływam.","When I start cooking, I drift away.",absorption,happiness,mild,"If I start to cook, then I'm starting to cook you."
1/1/1900 0:00,1/1/1900 0:00,Urodziłem się z wyczuciem kuchni i z wyczuciem smaku.,I was born with a sense for the kitchen and a sense of taste.,pride,happiness,mild,"I was born in the kitchen kitchen kitchen, and it feels like I'm not comfortable with the kitchen."
1/1/1900 0:00,1/1/1900 0:00,Ja uwielbiam jeść dobre rzeczy.,I love to eat good things.,pleasure,happiness,moderate,I love to eat good things.
1/1/1900 0:00,1/1/1900 0:00,"Chciałabym poświęcić się gotowaniu, robić to już do końca życia.","I would like to devote myself to cooking, to do it for the rest of my life.",devotion,happiness,moderate,I'd like to take over the end of my life.
1/1/1900 0:00,1/1/1900 0:00,"Chciałem być w kuchni, którą Polska jeszcze nie widziała.",I wanted to be in a kitchen that Poland has not yet seen.,aspiration,happiness,mild,"I just wanted to be in the kitchen kitchen kitchen kitchen kitchen, which she's seen."
1/1/1900 0:00,1/1/1900 0:00,"Polską, ale w takim new style.","Polish, but in such a new style.",curiosity,neutral,mild,"Fernando, but this is where it's built, so it's a newcomer."
1/1/1900 0:00,1/1/1900 0:00,Lubię ryzyko w kuchni.,I like risk in the kitchen.,excitement,happiness,mild,I like the kitchen in the kitchen kitchen kitchen.
1/1/1900 0:00,1/1/1900 0:00,"Wysokie stawki, wygrywa się tylko ryzykiem.","High stakes, you only win by taking risks.",determination,neutral,moderate,"It's just that you're gonna take the risk off the radar, and that's why I'm going to take the risk."
1/1/1900 0:00,1/1/1900 0:00,"To jest to, co kocham, to jest to, co lubię","This is what I love, this is what I like",affection,happiness,moderate,"It's what I like, and it's not what I love it, it's..."
1/1/1900 0:00,1/1/1900 0:00,i tego fartucha już prędko nie oddam.,and I won't give this apron back anytime soon.,determination,happiness,moderate,"I'm gonna take a look at this paint, and I'm gonna make it quick."
1/1/1900 0:00,1/1/1900 0:01,Startowałam pod hasłem od kotleta do Masterchefa.,I started under the slogan from cutlet to Masterchef.,pride,happiness,mild,"I've been monitoring the catalog, and I've been monitoring the catwalker."
1/1/1900 0:01,1/1/1900 0:01,I tak łatwo się robi.,And it's so easy to do.,ease,happiness,mild,And that's the easy way to do it.
1/1/1900 0:01,1/1/1900 0:01,Masterchef będzie tylko jeden.,There will be only one Masterchef.,determination,neutral,neutral,"He's got one thing to do, and he's only gonna have a mike."
1/1/1900 0:01,1/1/1900 0:01,"Kraków, rynek główny.","Kraków, main square.",serenity,neutral,neutral,"The main part of the market, the Rangers of the market."
1/1/1900 0:01,1/1/1900 0:01,To tutaj kucharze Masterchefa staną przed kolejnym kulinarnym testem.,It is here that the Masterchef chefs will face another culinary test.,anticipation,surprise,mild,"It's a new owner of the Masters, and it's the new owner of the Masters."
1/1/1900 0:01,1/1/1900 0:01,Groży przygotowali dla nich nietypowe i bardzo wymagające zadanie.,The Groży prepared an unusual and very demanding task for them.,apprehension,fear,moderate,"They've been preparing for them, and they're gonna need a very special job."
1/1/1900 0:01,1/1/1900 0:01,"I zobacz, jak piękny ten rynek krakowski.","And look, how beautiful this Krakow market square is.",admiration,happiness,mild,And look how beautiful this market is going to steal the market.
1/1/1900 0:01,1/1/1900 0:01,"Myślę, że lepszej mięsy nie ma, żeby gotować coś dobrego w końcu.",I think there is no better meat to finally cook something good.,satisfaction,happiness,mild,"I think it's a good thing to cook you guys, and I think it's a good thing to cook."
1/1/1900 0:01,1/1/1900 0:01,No i żeby gotować dla takich gości.,And to have to cook for such guests.,resentment,anger,moderate,"Well, there's a guy in the guesthouse."
1/1/1900 0:01,1/1/1900 0:01,Wchodzę na rynek i patrzę.,I enter the market square and look.,curiosity,neutral,neutral,"In the market, I'm going to see the market and look at the market."
1/1/1900 0:01,1/1/1900 0:01,Wszyscy spodziewaliśmy się czegoś zupełnie innego.,We all expected something completely different.,disappointment,sadness,moderate,We were all expecting something else.
1/1/1900 0:01,1/1/1900 0:01,Dotąd gotowali na własny rachunek.,"Until now, they cooked on their own account.",independence,neutral,neutral,They're going to take a check on their own records.
